0	1	2	3
zh	entailment	疫情发生后，我们对9519家企业返还稳岗资金5128万元、稳岗29.87万个；对疫情防控保供的42家企业发放一次性吸纳就业补贴1272.5万元、稳岗6363个	“新型冠状病毒感染的肺炎疫情防控工作”新闻发布会第五十六场
zh	entailment	而研制这么一款疫苗到底要多久，这样吧，我先来讲讲国内汉坦病毒治疗研究的前生今世。 ﻿. 内容引自：人卫版传染病学(第9版)第九版 ...	新冠病毒的疫苗研制要 18 个月
zh	entailment	当地时间5月30日，土耳其交通与基础设施部长阿迪尔·卡拉伊斯梅洛卢表示，将于当地时间6月1日起复飞国内航班	土耳其6月1日起复飞国内航班，所有省市解除旅行禁令
zh	contradiction	N95口罩的使用，美国疾控中心发布了一个文件，指出在特殊情况下（比如口罩供应不足等），可以在严格规范下“延长使用期限”以及“有限重复使用”。	用了7天的N95口罩消毒可继续用
zh	entailment	目前，巴西政府为应对疫情所采取的紧急援助计划已开始第二阶段拨款	巴西为应对疫情推出的紧急援助计划或将有所延长
zh	entailment	此份最新的报告显示，自出现新冠肺炎疫情以来，全球有六分之一的年轻人已经停止工作，而那些仍在工作的年轻人的工作时间也减少了23％	​国际劳工组织：新冠肺炎疫情对年轻人的影响更为突出
zh	contradiction	新型冠状病毒肺炎COVID-19，自2019 年首次在中国发现，已于2020 年3 月11 日被世界卫生. 组织（WHO） ... 疫情爆发使企业面临现金流趋紧、供应链中断、市场供求普遍下滑等压力，多数企业预计. 2020 上半年 ... 不会采取减员、降薪等策略。 短期内，供应 ... 无偿捐赠用于应对新型冠状病毒感染的肺炎疫情的，免征增值税、消费税、城.	不要收现金，会感染新冠病毒
zh	contradiction	世界卫生组织（英文名称：World Health Organization，缩写WHO，中文简称世卫组织）是联合国下属的一个专门机构， 总部设置在瑞士日内瓦，只有主权国家才能参加 ...	中国被列入疫区国
zh	entailment	广西第四批支援湖北抗疫医疗队共104人，由1名领队、1名联络员、1名心理医生、101名临床医务人员组成，平均年龄34岁，中共党员51人	广西第四批支援湖北抗疫医疗队104名队员今日回家
zh	entailment	通告发出后，除武汉市外，各地在两天内陆续拆除了所有卡口	除武汉市外1450个离鄂交通卡口已全部拆除
zh	entailment	所以在很长一段时间内我们会不断的调整防疫策略，看世界开放到什么程度，我们防疫的策略就会调整到调整到什么程度	张文宏：边防疫边发展经济非常重要
zh	entailment	在今天（28日）下午举行的广东省新闻发布会上，广东省卫生健康委副主任周紫霄介绍，为落实“内防反弹”工作，广东省严格落实武汉来粤返粤人员健康管理服务，落实“三个一次”和“三个提醒”措施，开展核酸检测，查验健康码，纳入社区管理	截至4月25日 广东共完成新冠病毒核酸检测454.10万人份
zh	entailment	4月12日下午，金银潭医院最后一支外援医疗队——江苏医疗队返程，金银潭医院送别208名白衣战士凯旋回家	金银潭医院最后外援医疗队撤离
zh	entailment	数据显示，美国已经有累计超过3350万人失去收入，可见经济萎缩之严重，这也是为什么正处在连任竞选关键期的特朗普一直着急推进美国重启	美国4月份的失业率达到了14.7%
