_id,id,label,document,entailment,contradiction,neutral
0,390,5,黑龙江黑河“100多人带着病毒回来了”,“100多人带着病毒回来了”发生在黑龙江黑河,黑龙江黑河没有“100多人带着病毒回来了”,重走抗联路!吉林省委党史研究室率专家一行实地踏查老黑河
1,241,7,钟南山预测“5月疫情将全面爆发”,“5月疫情将全面爆发”被钟南山预测,钟南山没有预测“5月疫情将全面爆发”,八旬妻子球场上边投篮边等钟南山回家
2,867,7,病毒会漂浮在空气中形成“病毒云”,“病毒云”是由漂浮在空气中的病毒形成,病毒不会漂浮在空气中形成“病毒云”,米兰官方:皮奥利新冠病毒检测呈阳性
3,64,7,北京五棵松华熙“沦陷”,“沦陷”发生在北京五棵松华熙,北京五棵松华熙没有“沦陷”,11月北京哪里的房子有潜力?看海淀五棵松房价走势
4,209,4,“五一”离开温州回来需自费做核酸检测,“五一”离开温州回来需自己出钱做核酸检测,“五一”离开温州回来不需要自费做核酸检测,浙江温州皮革厂倒闭了
5,722,7,长颈鹿充气服公鸡服……“硬核防护服”真有用,“硬核防护服”真有用长颈鹿充气服公鸡服,长颈鹿充气服公鸡服……“硬核防护服”真没用,"长颈鹿交配时一方会先喝尿?这是独特的爱好,还是另有原因!"
6,962,8,美 14 万流感死者或部分死于新冠,14 万流感死者或部分死于新冠在美国,美 14 万流感死者或没有死于新冠,云南省疾控中心提醒:防范流感需及时接种疫苗
7,1013,3,15 秒未戴口罩接触病患被感染,15 秒未戴口罩接触病患有被感染的风险,15 秒未戴口罩接触病患不会被感染,疫情期间不戴口罩很不安全
8,21,6,宁波高新区新增1例确诊病例,1例确诊病例在宁波高新区新增,宁波高新区没有新增1例确诊病例,"宁波70后富豪香港被砍,神秘发家史成谜"
9,42,7,广西一酒店接待北京客人致20多人发烧被隔离,20多人发烧被隔离由于广西一酒店接待北京客人,广西一酒店接待北京客人并没有致20多人发烧被隔离,天气将迎转折!@广西人 降雨订单即将到货 请注意签收
10,452,5,25日起非香港居民乘飞机抵港将不准入境,25日起乘飞机抵港的非香港居民将不准入境,25日起非香港居民乘飞机抵港将可以入境。,非香港居民不准在香港购房
11,313,2,山东烟台某医院新确诊27例,27例病例在山东烟台某医院确诊。,山东烟台某医院没有确诊27例病例。,山东烟台某医院出现新增新冠肺炎确诊患者。
